model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp

logistic-regression_remove_dots_lowercase,0.09324033482278163,0.7458966565349544,0.03009380496726876,0.13414634146341464,5.5,48.1,239.9,35.5,2024-05-13 16:18:08.143009

logistic-regression_remove_dots,0.1556313094991073,0.7781155015197568,0.03730468433586702,0.20000000000000004,8.2,40.2,247.8,32.8,2024-05-13 16:18:34.876760

logistic-regression_lemmatize_remove_stop_words_lowercase_remove_dots,0.1198087351228004,0.8425531914893616,0.013583861571880195,0.09024390243902439,3.7,14.5,273.5,37.3,2024-05-13 16:18:40.000694

logistic-regression_,0.09777329120694375,0.8462006079027355,0.015934194718269293,0.1,4.1,13.7,274.3,36.9,2024-05-13 16:18:45.238296

logistic-regression_remove_dots_remove_duplicates_lowercase,0.11362237384565257,0.8574468085106384,0.012231599833896918,0.08292682926829267,3.4,9.3,278.7,37.6,2024-05-13 16:18:54.807817

logistic-regression_lowercase_remove_stop_words,0.08656508731718102,0.8458966565349545,0.013747698278820036,0.08536585365853659,3.5,13.2,274.8,37.5,2024-05-13 16:18:55.118157

logistic-regression_lowercase_lemmatize,0.07160101464884557,0.8370820668693011,0.01734309467086209,0.09024390243902439,3.7,16.3,271.7,37.3,2024-05-13 16:18:56.536408

logistic-regression_remove_stop_words_remove_dots_lowercase,0.1032096505140718,0.8595744680851064,0.011574308664557494,0.07804878048780488,3.2,8.4,279.6,37.8,2024-05-13 16:19:00.689396

logistic-regression_remove_stop_words_remove_dots_remove_duplicates,0.07603836269040307,0.8632218844984803,0.009828627529255349,0.06585365853658537,2.7,6.7,281.3,38.3,2024-05-13 16:19:01.119207

logistic-regression_lowercase_remove_dots_remove_duplicates,0.05308474623112105,0.8644376899696049,0.007220521943206333,0.04634146341463415,1.9,5.5,282.5,39.1,2024-05-13 16:19:02.086993

logistic-regression_remove_duplicates_remove_dots,0.12870129309157424,0.8303951367781155,0.02719676790018009,0.16097560975609754,6.6,21.4,266.6,34.4,2024-05-13 16:19:03.054314

logistic-regression_remove_stop_words_lowercase_remove_dots_lemmatize_remove_duplicates,0.13956863212488738,0.8598784194528875,0.016510651801615022,0.11219512195121953,4.6,9.7,278.3,36.4,2024-05-13 16:19:03.765855

