model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp

logistic-regression_n_grams_remove_duplicates_lowercase_lemmatize_remove_stop_words_remove_dots,0.42728336273400525,0.8790273556231003,0.051615225875139545,0.36341463414634145,14.9,13.7,274.3,26.1,2024-05-13 19:24:05.187916

logistic-regression_n_grams_remove_duplicates_remove_dots_lemmatize_remove_stop_words_lowercase,0.44831005231507515,0.8820668693009118,0.05415007743737258,0.38292682926829263,15.7,13.5,274.5,25.3,2024-05-13 19:25:10.854052

logistic-regression_n_grams_remove_duplicates_remove_stop_words_lemmatize_lowercase_remove_dots,0.46979712842447247,0.8884498480243159,0.05577614062130021,0.39756097560975606,16.3,12.0,276.0,24.7,2024-05-13 19:25:11.382173

logistic-regression_n_grams_lowercase_lemmatize_remove_stop_words_remove_duplicates_remove_dots,0.4420536241572882,0.8814589665653495,0.05319669373724525,0.375609756097561,15.4,13.4,274.6,25.6,2024-05-13 19:25:22.067574

logistic-regression_n_grams_remove_duplicates_remove_dots_lowercase_lemmatize_remove_stop_words,0.4128817476163478,0.8762917933130699,0.04971511725647339,0.348780487804878,14.3,14.0,274.0,26.7,2024-05-13 19:25:36.487322

logistic-regression_n_grams_remove_duplicates_remove_stop_words_lowercase_lemmatize_remove_dots,0.39270338016682177,0.8650455927051672,0.050658327715873044,0.35121951219512193,14.4,17.8,270.2,26.6,2024-05-13 19:25:43.848698

logistic-regression_n_grams_remove_duplicates_lemmatize_remove_stop_words_lowercase_remove_dots,0.4717611182221583,0.8805471124620061,0.060385834872699565,0.426829268292683,17.5,15.8,272.2,23.5,2024-05-13 19:25:44.619176

logistic-regression_n_grams_remove_duplicates_lemmatize_remove_dots_remove_stop_words_lowercase,0.5250757755671438,0.8972644376899697,0.06267225464159291,0.451219512195122,18.5,11.3,276.7,22.5,2024-05-13 19:25:46.010762

logistic-regression_n_grams_lemmatize_remove_duplicates_remove_stop_words_lowercase_remove_dots,0.5020532870082115,0.8917933130699088,0.06085720292358212,0.4341463414634146,17.8,12.4,275.6,23.2,2024-05-13 19:26:16.124728

logistic-regression_n_grams_lowercase_remove_duplicates_remove_stop_words_remove_dots_lemmatize,0.407044225896904,0.8753799392097266,0.04880211835090884,0.3414634146341463,14.0,14.0,274.0,27.0,2024-05-13 19:26:45.525495

logistic-regression_n_grams_lemmatize_remove_duplicates_remove_dots_lowercase_remove_stop_words,0.46805790827529953,0.8826747720364743,0.0592728774450163,0.41951219512195126,17.2,14.8,273.2,23.8,2024-05-13 19:26:48.563224

logistic-regression_n_grams_lemmatize_remove_dots_lowercase_remove_stop_words_remove_duplicates,0.4878803605542327,0.8817629179331306,0.06418997348109429,0.4536585365853659,18.6,16.5,271.5,22.4,2024-05-13 19:26:50.373979

logistic-regression_n_grams_remove_duplicates_lemmatize_lowercase_remove_stop_words_remove_dots,0.4559539734726302,0.8933130699088145,0.05005459033781666,0.3585365853658536,14.7,8.8,279.2,26.3,2024-05-13 19:26:52.030666

logistic-regression_n_grams_lemmatize_remove_stop_words_remove_dots_lowercase_remove_duplicates,0.5006935996553243,0.894224924012158,0.059466023917481556,0.426829268292683,17.5,11.3,276.7,23.5,2024-05-13 19:27:02.506739

