model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp

naive-bayes_remove_stop_words,0.3013698630136986,0.6899696048632219,0.09691629955947137,0.5365853658536586,22.0,83.0,205.0,19.0,2024-05-13 16:11:03.916357

naive-bayes_remove_dots,0.348993288590604,0.7051671732522796,0.11206896551724138,0.6341463414634146,26.0,82.0,206.0,15.0,2024-05-13 16:11:04.188224

naive-bayes_,0.323943661971831,0.7082066869300911,0.09871244635193133,0.5609756097560976,23.0,78.0,210.0,18.0,2024-05-13 16:11:04.233315

naive-bayes_remove_duplicates,0.3076923076923077,0.6170212765957447,0.13793103448275862,0.6829268292682927,28.0,113.0,175.0,13.0,2024-05-13 16:11:04.395949

naive-bayes_lemmatize,0.359375,0.7507598784194529,0.0931174089068826,0.5609756097560976,23.0,64.0,224.0,18.0,2024-05-13 16:11:04.365337

naive-bayes_lowercase,0.34074074074074073,0.729483282674772,0.09583333333333334,0.5609756097560976,23.0,71.0,217.0,18.0,2024-05-13 16:11:04.484854

naive-bayes_remove_stop_words_lemmatize,0.336,0.7477203647416414,0.08536585365853659,0.5121951219512195,21.0,63.0,225.0,20.0,2024-05-13 16:11:05.512414

naive-bayes_remove_dots_remove_stop_words,0.34615384615384615,0.6899696048632219,0.11894273127753303,0.6585365853658537,27.0,88.0,200.0,14.0,2024-05-13 16:11:05.988045

naive-bayes_lowercase_remove_dots,0.3586206896551724,0.7173252279635258,0.11016949152542373,0.6341463414634146,26.0,78.0,210.0,15.0,2024-05-13 16:11:06.212901

naive-bayes_remove_dots_lemmatize,0.352112676056338,0.7203647416413373,0.10548523206751055,0.6097560975609756,25.0,76.0,212.0,16.0,2024-05-13 16:11:06.275749

naive-bayes_lowercase_lemmatize,0.35384615384615387,0.7446808510638298,0.09387755102040816,0.5609756097560976,23.0,66.0,222.0,18.0,2024-05-13 16:11:06.216949

naive-bayes_remove_duplicates_lowercase,0.3128491620111732,0.6261398176291794,0.13592233009708737,0.6829268292682927,28.0,110.0,178.0,13.0,2024-05-13 16:11:07.428617

naive-bayes_remove_stop_words_remove_dots_remove_duplicates,0.3076923076923077,0.6990881458966566,0.09565217391304348,0.5365853658536586,22.0,80.0,208.0,19.0,2024-05-13 16:11:07.676149

