model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp

naive-bayes_add-k-0.30000000000000004_,0.3125,0.7993920972644377,0.057034220532319393,0.36585365853658536,15.0,40.0,248.0,26.0,2024-05-13 16:14:38.871529

naive-bayes_add-k-0.1_,0.2716049382716049,0.8206686930091185,0.040740740740740744,0.2682926829268293,11.0,29.0,259.0,30.0,2024-05-13 16:14:38.881935

naive-bayes_add-k-0.4_,0.3269230769230769,0.7872340425531915,0.06563706563706563,0.4146341463414634,17.0,46.0,242.0,24.0,2024-05-13 16:14:38.929181

naive-bayes_add-k-0.7000000000000001_remove_duplicates,0.32941176470588235,0.6534954407294833,0.13023255813953488,0.6829268292682927,28.0,101.0,187.0,13.0,2024-05-13 16:14:39.210473

naive-bayes_add-k-0.2_,0.29545454545454547,0.8115501519756839,0.04868913857677903,0.3170731707317073,13.0,34.0,254.0,28.0,2024-05-13 16:14:39.238456

naive-bayes_add-k-0.6_remove_duplicates,0.3393939393939394,0.668693009118541,0.12727272727272726,0.6829268292682927,28.0,96.0,192.0,13.0,2024-05-13 16:14:39.362807

naive-bayes_add-k-0.5_,0.336283185840708,0.7720364741641338,0.07480314960629922,0.4634146341463415,19.0,53.0,235.0,22.0,2024-05-13 16:14:39.674779

naive-bayes_add-k-0.5_remove_stop_words,0.3333333333333333,0.7689969604863222,0.07509881422924901,0.4634146341463415,19.0,54.0,234.0,22.0,2024-05-13 16:14:39.798594

naive-bayes_add-k-0.6_,0.3333333333333333,0.756838905775076,0.08032128514056225,0.4878048780487805,20.0,59.0,229.0,21.0,2024-05-13 16:14:40.036975

naive-bayes_add-k-0.8_,0.3181818181818182,0.7264437689969605,0.08786610878661087,0.5121951219512195,21.0,70.0,218.0,20.0,2024-05-13 16:14:40.365599

naive-bayes_add-k-0.5_remove_duplicates,0.3225806451612903,0.6808510638297872,0.11160714285714286,0.6097560975609756,25.0,89.0,199.0,16.0,2024-05-13 16:14:40.261226

naive-bayes_add-k-0.6_remove_dots_remove_duplicates,0.33766233766233766,0.6899696048632219,0.1145374449339207,0.6341463414634146,26.0,87.0,201.0,15.0,2024-05-13 16:14:41.004231

naive-bayes_add-k-0.9_remove_dots_remove_duplicates,0.3128491620111732,0.6261398176291794,0.13592233009708737,0.6829268292682927,28.0,110.0,178.0,13.0,2024-05-13 16:14:40.970295

naive-bayes_add-k-0.8_lemmatize,0.3620689655172414,0.7750759878419453,0.08235294117647059,0.5121951219512195,21.0,54.0,234.0,20.0,2024-05-13 16:14:41.136109

naive-bayes_add-k-0.9_remove_dots,0.3448275862068966,0.7112462006079028,0.10683760683760683,0.6097560975609756,25.0,79.0,209.0,16.0,2024-05-13 16:14:41.241996

naive-bayes_add-k-0.9_lemmatize,0.3492063492063492,0.7507598784194529,0.08906882591093117,0.5365853658536586,22.0,63.0,225.0,19.0,2024-05-13 16:14:41.155204

naive-bayes_add-k-0.1_remove_dots,0.30952380952380953,0.8237082066869301,0.04797047970479705,0.3170731707317073,13.0,30.0,258.0,28.0,2024-05-13 16:14:41.280560

naive-bayes_add-k-0.6_remove_dots,0.35,0.7629179331306991,0.08366533864541832,0.5121951219512195,21.0,58.0,230.0,20.0,2024-05-13 16:14:41.215542

naive-bayes_add-k-0.5_remove_stop_words_remove_duplicates,0.3108108108108108,0.6899696048632219,0.1013215859030837,0.5609756097560976,23.0,84.0,204.0,18.0,2024-05-13 16:14:41.489415

naive-bayes_add-k-0.2_remove_duplicates,0.3247863247863248,0.7598784194528876,0.076,0.4634146341463415,19.0,57.0,231.0,22.0,2024-05-13 16:14:41.463512

naive-bayes_add-k-0.5_lowercase,0.35514018691588783,0.790273556231003,0.07307692307692308,0.4634146341463415,19.0,47.0,241.0,22.0,2024-05-13 16:14:41.580350

naive-bayes_add-k-0.30000000000000004_remove_dots_remove_duplicates,0.3548387096774194,0.756838905775076,0.08835341365461848,0.5365853658536586,22.0,61.0,227.0,19.0,2024-05-13 16:14:41.718644

naive-bayes_add-k-0.7000000000000001_remove_dots_remove_duplicates,0.32926829268292684,0.6656534954407295,0.1232876712328767,0.6585365853658537,27.0,96.0,192.0,14.0,2024-05-13 16:14:41.766291

naive-bayes_add-k-0.1_remove_dots_lemmatize,0.32,0.8449848024316109,0.04316546762589928,0.2926829268292683,12.0,22.0,266.0,29.0,2024-05-13 16:14:41.839289

naive-bayes_add-k-0.30000000000000004_lowercase_remove_duplicates,0.3387096774193548,0.7507598784194529,0.08502024291497975,0.5121951219512195,21.0,62.0,226.0,20.0,2024-05-13 16:14:42.199319

naive-bayes_add-k-0.1_lowercase,0.3037974683544304,0.8328267477203647,0.043795620437956206,0.2926829268292683,12.0,26.0,262.0,29.0,2024-05-13 16:14:42.495411

naive-bayes_add-k-0.30000000000000004_remove_stop_words_remove_duplicates,0.352,0.7537993920972644,0.08870967741935484,0.5365853658536586,22.0,62.0,226.0,19.0,2024-05-13 16:14:42.677175

naive-bayes_add-k-0.1_remove_stop_words,0.3023255813953488,0.817629179331307,0.048327137546468404,0.3170731707317073,13.0,32.0,256.0,28.0,2024-05-13 16:14:42.784407

naive-bayes_add-k-0.30000000000000004_remove_dots,0.32989690721649484,0.8024316109422492,0.06060606060606061,0.3902439024390244,16.0,40.0,248.0,25.0,2024-05-13 16:14:42.804576

naive-bayes_add-k-0.6_remove_stop_words_remove_duplicates,0.3375,0.6778115501519757,0.1210762331838565,0.6585365853658537,27.0,92.0,196.0,14.0,2024-05-13 16:14:43.052306

naive-bayes_add-k-0.7000000000000001_remove_stop_words_remove_duplicates,0.3253012048192771,0.6595744680851063,0.12442396313364056,0.6585365853658537,27.0,98.0,190.0,14.0,2024-05-13 16:14:43.047257

naive-bayes_add-k-0.6_remove_dots_lowercase,0.3697478991596639,0.7720364741641338,0.08661417322834646,0.5365853658536586,22.0,56.0,232.0,19.0,2024-05-13 16:14:43.448313

naive-bayes_add-k-0.6_lowercase,0.3684210526315789,0.7811550151975684,0.08171206225680934,0.5121951219512195,21.0,52.0,236.0,20.0,2024-05-13 16:14:43.465164

naive-bayes_add-k-0.2_remove_dots_remove_duplicates,0.3302752293577982,0.7781155015197568,0.0703125,0.43902439024390244,18.0,50.0,238.0,23.0,2024-05-13 16:14:43.678676

naive-bayes_add-k-0.4_remove_stop_words,0.33962264150943394,0.7872340425531915,0.0694980694980695,0.43902439024390244,18.0,47.0,241.0,23.0,2024-05-13 16:14:43.707242

naive-bayes_add-k-0.4_remove_dots_remove_duplicates,0.35294117647058826,0.7325227963525835,0.0995850622406639,0.5853658536585366,24.0,71.0,217.0,17.0,2024-05-13 16:14:43.797520

naive-bayes_add-k-0.4_remove_dots_lemmatize,0.3655913978494624,0.8206686930091185,0.06296296296296296,0.4146341463414634,17.0,35.0,253.0,24.0,2024-05-13 16:14:43.824126

naive-bayes_add-k-0.6_remove_stop_words,0.31666666666666665,0.7507598784194529,0.07692307692307693,0.4634146341463415,19.0,60.0,228.0,22.0,2024-05-13 16:14:43.941526

naive-bayes_add-k-0.5_lowercase_remove_dots,0.35714285714285715,0.7811550151975684,0.07782101167315175,0.4878048780487805,20.0,51.0,237.0,21.0,2024-05-13 16:14:44.063239

naive-bayes_add-k-0.5_remove_duplicates_remove_dots,0.3424657534246575,0.7082066869300911,0.1072961373390558,0.6097560975609756,25.0,80.0,208.0,16.0,2024-05-13 16:14:44.165567

naive-bayes_add-k-0.9_remove_dots_lemmatize,0.35294117647058826,0.7325227963525835,0.0995850622406639,0.5853658536585366,24.0,71.0,217.0,17.0,2024-05-13 16:14:44.099157

naive-bayes_add-k-0.7000000000000001_remove_duplicates_remove_stop_words,0.32926829268292684,0.6656534954407295,0.1232876712328767,0.6585365853658537,27.0,96.0,192.0,14.0,2024-05-13 16:14:44.573317

