model_name,f1,accuracy,precision,recall,true_positives,false_positives,true_negatives,false_negatives,timestamp

svm_remove_stop_words_remove_dots_lemmatize_remove_duplicates,0.5573770491803278,0.9179331306990881,0.056291390728476824,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-13 16:26:50.597167

svm_lemmatize_remove_stop_words_remove_duplicates,0.5245901639344263,0.9118541033434651,0.05333333333333334,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 16:26:55.381178

svm_remove_dots_lowercase,0.5483870967741935,0.9148936170212766,0.05647840531561462,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-13 16:26:57.032992

svm_,0.45614035087719296,0.9057750759878419,0.0436241610738255,0.3170731707317073,13.0,3.0,285.0,28.0,2024-05-13 16:26:59.008259

svm_remove_dots,0.5483870967741935,0.9148936170212766,0.05647840531561462,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-13 16:26:59.900552

svm_lowercase,0.4745762711864407,0.9057750759878419,0.04697986577181208,0.34146341463414637,14.0,4.0,284.0,27.0,2024-05-13 16:27:03.048222

svm_lemmatize_remove_stop_words_remove_dots_remove_duplicates,0.5573770491803278,0.9179331306990881,0.056291390728476824,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-13 16:27:07.197103

svm_remove_dots_remove_stop_words_remove_duplicates_lemmatize,0.5483870967741935,0.9148936170212766,0.05647840531561462,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-13 16:27:08.166452

svm_lowercase_remove_stop_words_remove_duplicates_lemmatize,0.5,0.9088145896656535,0.05016722408026756,0.36585365853658536,15.0,4.0,284.0,26.0,2024-05-13 16:27:09.853046

svm_lowercase_lemmatize_remove_dots_remove_stop_words,0.5,0.9027355623100304,0.05387205387205387,0.3902439024390244,16.0,7.0,281.0,25.0,2024-05-13 16:27:13.917290

svm_remove_dots_remove_stop_words_lowercase_remove_duplicates,0.4745762711864407,0.9057750759878419,0.04697986577181208,0.34146341463414637,14.0,4.0,284.0,27.0,2024-05-13 16:27:16.464772

svm_remove_duplicates_remove_stop_words,0.5161290322580645,0.9088145896656535,0.05351170568561873,0.3902439024390244,16.0,5.0,283.0,25.0,2024-05-13 16:27:20.013343

svm_lowercase_remove_dots_remove_duplicates,0.4642857142857143,0.9088145896656535,0.043478260869565216,0.3170731707317073,13.0,2.0,286.0,28.0,2024-05-13 16:27:20.598921

svm_lemmatize_remove_stop_words_lowercase,0.5423728813559322,0.9179331306990881,0.052980132450331126,0.3902439024390244,16.0,2.0,286.0,25.0,2024-05-13 16:27:21.783742

svm_remove_stop_words_lowercase_remove_duplicates_remove_dots,0.4745762711864407,0.9057750759878419,0.04697986577181208,0.34146341463414637,14.0,4.0,284.0,27.0,2024-05-13 16:27:22.682434

svm_remove_duplicates_lemmatize_remove_stop_words,0.5084745762711864,0.9118541033434651,0.05,0.36585365853658536,15.0,3.0,285.0,26.0,2024-05-13 16:27:23.118997

svm_lowercase_remove_stop_words_remove_dots_remove_duplicates,0.4745762711864407,0.9057750759878419,0.04697986577181208,0.34146341463414637,14.0,4.0,284.0,27.0,2024-05-13 16:27:25.260869

svm_remove_dots_lowercase_remove_stop_words_lemmatize,0.5573770491803278,0.9179331306990881,0.056291390728476824,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-13 16:27:25.663846

svm_lemmatize,0.4827586206896552,0.9088145896656535,0.046822742474916385,0.34146341463414637,14.0,3.0,285.0,27.0,2024-05-13 16:27:29.473068

svm_remove_dots_lowercase_lemmatize,0.5245901639344263,0.9118541033434651,0.05333333333333334,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 16:27:33.892313

svm_lemmatize_lowercase,0.4827586206896552,0.9088145896656535,0.046822742474916385,0.34146341463414637,14.0,3.0,285.0,27.0,2024-05-13 16:27:38.621929

svm_lowercase_remove_stop_words_lemmatize,0.5423728813559322,0.9179331306990881,0.052980132450331126,0.3902439024390244,16.0,2.0,286.0,25.0,2024-05-13 16:27:44.638755

svm_lemmatize_lowercase_remove_duplicates,0.5172413793103449,0.9148936170212766,0.04983388704318937,0.36585365853658536,15.0,2.0,286.0,26.0,2024-05-13 16:27:45.635050

svm_remove_dots_lemmatize_remove_stop_words_lowercase,0.5714285714285714,0.9179331306990881,0.059602649006622516,0.43902439024390244,18.0,4.0,284.0,23.0,2024-05-13 16:27:50.493141

svm_lowercase_remove_stop_words_remove_dots_lemmatize,0.5573770491803278,0.9179331306990881,0.056291390728476824,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-13 16:27:51.371845

svm_remove_duplicates_remove_dots,0.4745762711864407,0.9057750759878419,0.04697986577181208,0.34146341463414637,14.0,4.0,284.0,27.0,2024-05-13 16:27:53.515004

svm_lowercase_remove_duplicates,0.4745762711864407,0.9057750759878419,0.04697986577181208,0.34146341463414637,14.0,4.0,284.0,27.0,2024-05-13 16:27:53.738429

svm_lemmatize_remove_dots_remove_duplicates_lowercase,0.5333333333333333,0.9148936170212766,0.053156146179401995,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 16:27:54.024927

svm_lemmatize_remove_dots_lowercase_remove_stop_words,0.5714285714285714,0.9179331306990881,0.059602649006622516,0.43902439024390244,18.0,4.0,284.0,23.0,2024-05-13 16:27:58.809531

svm_remove_dots_lowercase_remove_stop_words,0.5245901639344263,0.9118541033434651,0.05333333333333334,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 16:28:06.591056

svm_remove_dots_lemmatize_lowercase,0.5333333333333333,0.9148936170212766,0.053156146179401995,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 16:28:07.573871

svm_remove_stop_words_remove_duplicates_lowercase,0.5161290322580645,0.9088145896656535,0.05351170568561873,0.3902439024390244,16.0,5.0,283.0,25.0,2024-05-13 16:28:08.166541

svm_remove_dots_lowercase_remove_duplicates_remove_stop_words,0.4745762711864407,0.9057750759878419,0.04697986577181208,0.34146341463414637,14.0,4.0,284.0,27.0,2024-05-13 16:28:09.505845

svm_remove_stop_words_lemmatize_remove_duplicates_lowercase,0.5333333333333333,0.9148936170212766,0.053156146179401995,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 16:28:10.145626

svm_lowercase_remove_dots,0.5483870967741935,0.9148936170212766,0.05647840531561462,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-13 16:28:10.803504

svm_lowercase_remove_dots_lemmatize,0.5245901639344263,0.9118541033434651,0.05333333333333334,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 16:28:11.068474

svm_remove_stop_words_lemmatize_remove_duplicates_remove_dots_lowercase,0.5806451612903226,0.9209726443768997,0.0594059405940594,0.43902439024390244,18.0,3.0,285.0,23.0,2024-05-13 16:28:11.517589

svm_lemmatize_remove_dots_lowercase_remove_stop_words_remove_duplicates,0.5573770491803278,0.9179331306990881,0.056291390728476824,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-13 16:28:12.365875

svm_remove_duplicates_remove_dots_lowercase_lemmatize_remove_stop_words,0.4827586206896552,0.9088145896656535,0.046822742474916385,0.34146341463414637,14.0,3.0,285.0,27.0,2024-05-13 16:28:14.489221

svm_remove_duplicates_lowercase_remove_stop_words_lemmatize_remove_dots,0.5245901639344263,0.9118541033434651,0.05333333333333334,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 16:28:14.233744

svm_remove_stop_words_remove_duplicates_lowercase_remove_dots,0.5,0.9088145896656535,0.05016722408026756,0.36585365853658536,15.0,4.0,284.0,26.0,2024-05-13 16:28:17.007588

svm_remove_dots_lemmatize_remove_duplicates_lowercase,0.49122807017543857,0.9118541033434651,0.04666666666666667,0.34146341463414637,14.0,2.0,286.0,27.0,2024-05-13 16:28:17.368689

svm_lemmatize_lowercase_remove_stop_words_remove_duplicates,0.5483870967741935,0.9148936170212766,0.05647840531561462,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-13 16:28:19.468054

svm_remove_stop_words_lemmatize_lowercase_remove_dots_remove_duplicates,0.5806451612903226,0.9209726443768997,0.0594059405940594,0.43902439024390244,18.0,3.0,285.0,23.0,2024-05-13 16:28:20.084028

svm_lemmatize_remove_stop_words_lowercase_remove_duplicates_remove_dots,0.5573770491803278,0.9179331306990881,0.056291390728476824,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-13 16:28:21.074776

svm_remove_duplicates_remove_dots_lowercase_remove_stop_words_lemmatize,0.5483870967741935,0.9148936170212766,0.05647840531561462,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-13 16:28:22.330190

svm_remove_stop_words_remove_duplicates_remove_dots_lemmatize_lowercase,0.5245901639344263,0.9118541033434651,0.05333333333333334,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 16:28:22.778118

svm_lowercase_remove_dots_remove_stop_words_lemmatize_remove_duplicates,0.5423728813559322,0.9179331306990881,0.052980132450331126,0.3902439024390244,16.0,2.0,286.0,25.0,2024-05-13 16:28:22.950177

svm_remove_dots_lowercase_remove_duplicates_lemmatize,0.4827586206896552,0.9088145896656535,0.046822742474916385,0.34146341463414637,14.0,3.0,285.0,27.0,2024-05-13 16:28:23.149350

svm_remove_stop_words_remove_duplicates_remove_dots_lowercase,0.5,0.9088145896656535,0.05016722408026756,0.36585365853658536,15.0,4.0,284.0,26.0,2024-05-13 16:28:24.540175

svm_lowercase_lemmatize,0.5,0.9088145896656535,0.05016722408026756,0.36585365853658536,15.0,4.0,284.0,26.0,2024-05-13 16:28:25.841745

svm_lowercase_remove_duplicates_remove_stop_words,0.4918032786885246,0.9057750759878419,0.050335570469798654,0.36585365853658536,15.0,5.0,283.0,26.0,2024-05-13 16:28:25.912273

svm_remove_stop_words_lemmatize_lowercase_remove_duplicates,0.5333333333333333,0.9148936170212766,0.053156146179401995,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 16:28:27.122759

svm_remove_duplicates_lowercase_remove_dots,0.4745762711864407,0.9057750759878419,0.04697986577181208,0.34146341463414637,14.0,4.0,284.0,27.0,2024-05-13 16:28:28.664760

svm_remove_stop_words_remove_duplicates_lowercase_lemmatize,0.5,0.9088145896656535,0.05016722408026756,0.36585365853658536,15.0,4.0,284.0,26.0,2024-05-13 16:28:28.914082

svm_remove_dots_lowercase_remove_stop_words_remove_duplicates,0.4745762711864407,0.9057750759878419,0.04697986577181208,0.34146341463414637,14.0,4.0,284.0,27.0,2024-05-13 16:28:29.791481

svm_lemmatize_remove_stop_words,0.5423728813559322,0.9179331306990881,0.052980132450331126,0.3902439024390244,16.0,2.0,286.0,25.0,2024-05-13 16:28:30.690085

svm_remove_duplicates_lemmatize_lowercase_remove_stop_words_remove_dots,0.5483870967741935,0.9148936170212766,0.05647840531561462,0.4146341463414634,17.0,4.0,284.0,24.0,2024-05-13 16:28:32.037794

svm_lowercase_remove_dots_remove_stop_words_remove_duplicates_lemmatize,0.5333333333333333,0.9148936170212766,0.053156146179401995,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 16:28:32.612602

svm_remove_duplicates_remove_stop_words_remove_dots_lemmatize,0.5245901639344263,0.9118541033434651,0.05333333333333334,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 16:28:32.984276

svm_lemmatize_remove_dots_remove_duplicates_remove_stop_words,0.5573770491803278,0.9179331306990881,0.056291390728476824,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-13 16:28:34.620705

svm_lemmatize_remove_duplicates_remove_dots,0.5423728813559322,0.9179331306990881,0.052980132450331126,0.3902439024390244,16.0,2.0,286.0,25.0,2024-05-13 16:28:34.617114

svm_remove_stop_words_remove_dots_lowercase_remove_duplicates_lemmatize,0.5,0.9088145896656535,0.05016722408026756,0.36585365853658536,15.0,4.0,284.0,26.0,2024-05-13 16:28:34.971461

svm_remove_dots_remove_duplicates_lowercase_lemmatize,0.4827586206896552,0.9088145896656535,0.046822742474916385,0.34146341463414637,14.0,3.0,285.0,27.0,2024-05-13 16:28:36.918317

svm_remove_stop_words_remove_dots_remove_duplicates_lemmatize_lowercase,0.5245901639344263,0.9118541033434651,0.05333333333333334,0.3902439024390244,16.0,4.0,284.0,25.0,2024-05-13 16:28:37.360893

svm_remove_dots_remove_duplicates_lowercase,0.4827586206896552,0.9088145896656535,0.046822742474916385,0.34146341463414637,14.0,3.0,285.0,27.0,2024-05-13 16:28:36.630265

svm_lemmatize_remove_duplicates_remove_stop_words_remove_dots,0.5573770491803278,0.9179331306990881,0.056291390728476824,0.4146341463414634,17.0,3.0,285.0,24.0,2024-05-13 16:28:38.422663

svm_lowercase_remove_duplicates_lemmatize_remove_dots,0.42857142857142855,0.9027355623100304,0.04040404040404041,0.2926829268292683,12.0,3.0,285.0,29.0,2024-05-13 16:28:38.949245

svm_remove_stop_words_remove_duplicates_lemmatize,0.5333333333333333,0.9148936170212766,0.053156146179401995,0.3902439024390244,16.0,3.0,285.0,25.0,2024-05-13 16:28:40.228364

svm_lowercase_lemmatize_remove_dots_remove_duplicates,0.5084745762711864,0.9118541033434651,0.05,0.36585365853658536,15.0,3.0,285.0,26.0,2024-05-13 16:28:40.377554

svm_remove_stop_words_lemmatize_remove_dots_lowercase_remove_duplicates,0.5806451612903226,0.9209726443768997,0.0594059405940594,0.43902439024390244,18.0,3.0,285.0,23.0,2024-05-13 16:28:41.562849

